,Comunidades y Ciudades Autónomas,Provincias,Periodo,NumCompraVentas,TotalPoblación,PrecioVivienda
73,01 Andalucía,14 Córdoba,2019M07,648.0,784430.0,119331.0
74,01 Andalucía,18 Granada,2019M07,1166.0,921698.0,119331.0
75,01 Andalucía,21 Huelva,2019M07,555.0,526605.0,119331.0
76,01 Andalucía,23 Jaén,2019M07,447.0,630122.0,119331.0
77,01 Andalucía,29 Málaga,2019M07,2856.0,1670596.0,119331.0
78,01 Andalucía,41 Sevilla,2019M07,1780.0,1952646.0,119331.0
79,01 Andalucía,04 Almería,2019M01,868.0,706871.0,114705.0
80,01 Andalucía,11 Cádiz,2019M01,1272.0,1249739.0,114705.0
81,01 Andalucía,14 Córdoba,2019M01,518.0,783867.0,114705.0
82,01 Andalucía,18 Granada,2019M01,906.0,919700.0,114705.0
83,01 Andalucía,21 Huelva,2019M01,534.0,524576.0,114705.0
84,01 Andalucía,23 Jaén,2019M01,398.0,632027.0,114705.0
